"Survey","SeaState","SightingTime","coords.x1","coords.x2","distance","object","Sample.Label","size","observer"
"en04395",3,"2004/06/28 10:22:21",-65.636,39.5760000000001,246.017321,1,48,2,1,1
"en04395",2.5,"2004/06/28 13:18:14",-65.648,39.7460000000001,1632.39336,2,50,2,1,1
"en04395",3,"2004/06/28 14:13:34",-65.692,39.8430000000001,2368.994088,3,51,1,1,1
"en04395",3.5,"2004/06/28 15:06:01",-65.717,39.9670000000001,244.697667,4,52,1,1,1
"en04395",4,"2004/06/29 10:48:31",-65.82,40.2790000000001,2081.346849,5,56,1,1,1
"en04395",2.4,"2004/06/29 14:35:33",-65.938,40.6120000000001,1149.263222,6,59,1,1,1
"en04395",2.4,"2004/06/29 14:39:18",-65.947,40.6170000000001,1533.383222,7,59,1,1,1
"en04395",2.4,"2004/06/29 14:56:28",-65.992,40.6450000000001,2959.174148,8,60,1,1,1
"en04395",2,"2004/06/29 15:03:01",-66.009,40.6560000000001,1475.212643,9,60,1,1,1
"en04395",2,"2004/06/29 15:38:17",-66.097,40.7250000000001,5088.76259,10,61,1,1,1
"en04395",2.5,"2004/06/30 15:36:03",-66.915,40.6630000000001,2367.78617,11,72,1,1,1
"en04395",3,"2004/07/02 11:08:07",-67.477,39.235,8044.475248,12,97,4,1,1
"en04395",2.5,"2004/07/03 06:45:20",-67.603,38.183,5346.350186,13,109,1,1,1
"en04395",2,"2004/07/21 09:47:20",-68.514,38.7540000000001,1046.839674,14,238,1,1,1
"en04395",2,"2004/07/21 09:49:35",-68.515,38.7480000000001,982.521241,15,238,1,1,1
"en04395",2,"2004/07/21 10:11:14",-68.534,38.6900000000001,56.580948,16,239,1,1,1
"en04395",2.5,"2004/06/25 10:49:06",-68.903,39.8070000000001,135.356618,17,22,1,1,1
"en04395",2.5,"2004/06/25 10:46:09",-68.905,39.7980000000001,1106.137683,18,22,1,1,1
"en04395",3,"2004/06/25 10:19:31",-68.931,39.7600000000001,3666.026471,19,21,1,1,1
"en04395",3,"2004/06/25 10:16:31",-68.939,39.7650000000001,2339.425671,20,21,1,1,1
"en04395",3,"2004/06/25 10:13:31",-68.947,39.7690000000001,4066.60171,21,21,1,1,1
"en04395",3,"2004/06/25 10:12:07",-68.951,39.7720000000001,2040.535952,22,21,2,1,1
"en04395",3,"2004/06/25 10:05:30",-68.968,39.7820000000001,3036.220498,23,21,2,1,1
"en04395",3,"2004/06/25 10:05:03",-68.969,39.7830000000001,4976.214385,24,21,1,1,1
"en04395",3.7,"2004/07/07 14:48:59",-70.114,37.7850000000001,384.868466,25,154,1,1,1
"en04395",3.7,"2004/07/07 15:01:33",-70.136,37.8120000000001,84.898867,26,154,2,1,1
"en04395",2.4,"2004/07/11 08:25:09",-70.314,39.2490000000001,4890.28426,27,213,2,1,1
"en04395",2.4,"2004/07/11 08:26:05",-70.315,39.2510000000001,416.293743,28,213,1,1,1
"en04395",2.4,"2004/07/11 08:16:30",-70.319,39.235,2974.491877,29,213,2,1,1
"en04395",3,"2004/07/11 08:40:10",-70.323,39.2860000000001,5054.431903,30,214,4,1,1
"en04395",2.4,"2004/07/11 08:10:08",-70.335,39.2460000000001,3970.641257,31,213,2,1,1
"en04395",2.4,"2004/07/11 08:07:05",-70.343,39.2510000000001,5716.715197,32,213,1,1,1
"en04395",3.9,"2004/07/29 14:10:22",-70.359,39.7660000000001,553.672942,33,335,1,1,1
"en04395",2,"2004/07/11 07:43:06",-70.405,39.2890000000001,574.168362,34,212,2,1,1
"en04395",2,"2004/07/11 07:33:25",-70.429,39.305,3865.495155,35,212,1,1,1
"en04395",3.5,"2004/07/29 12:56:22",-70.514,39.6080000000001,256.972398,36,332,1,1,1
"en04395",3.6,"2004/07/29 10:54:05",-70.667,39.7430000000001,2981.139172,37,331,1,1,1
"en04395",3.9,"2004/07/10 17:06:05",-70.784,39.5650000000001,1280.731075,38,208,2,1,1
"en04395",2,"2004/07/22 09:03:07",-71.196,38.0850000000001,2977.171405,39,253,3,1,1
"en04395",2,"2004/07/22 09:25:09",-71.235,38.0290000000001,524.465044,40,254,1,1,1
"en04395",2,"2004/07/22 09:43:05",-71.267,37.9840000000001,661.067585,41,254,1,1,1
"en04395",2,"2004/07/22 09:49:06",-71.278,37.9690000000001,974.442229,42,254,1,1,1
"en04395",2,"2004/07/22 09:49:22",-71.279,37.9680000000001,1074.227844,43,254,2,1,1
"en04395",3,"2004/07/10 06:11:32",-71.282,39.2620000000001,160.355743,44,191,4,1,1
"en04395",3,"2004/07/10 06:14:00",-71.283,39.2680000000001,3358.609898,45,191,1,1,1
"en04395",3,"2004/07/10 06:14:10",-71.284,39.2690000000001,1285.633176,46,191,1,1,1
"en04395",3,"2004/07/10 06:16:07",-71.285,39.2740000000001,497.230737,47,191,2,1,1
"en04395",3.5,"2004/07/10 08:15:33",-71.354,39.5690000000001,1045.303073,48,194,1,1,1
"en04395",3.5,"2004/07/10 08:45:16",-71.374,39.6500000000001,2486.397335,49,195,2,1,1
"en04395",2.9,"2004/08/02 07:00:10",-71.41,39.6170000000001,2744.80941,50,381,2,1,1
"en04395",3.1,"2004/08/02 07:13:23",-71.431,39.5830000000001,635.570297,51,381,2,1,1
"en04395",3.1,"2004/08/02 07:18:09",-71.439,39.5700000000001,397.390537,52,381,2,1,1
"en04395",2.9,"2004/08/02 07:40:08",-71.475,39.5130000000001,227.952364,53,382,1,1,1
"en04395",2.9,"2004/08/02 07:46:20",-71.485,39.497,3447.277253,54,382,1,1,1
"en04395",2.9,"2004/08/02 07:47:24",-71.487,39.494,1599.924242,55,382,1,1,1
"en04395",2.7,"2004/08/02 08:07:11",-71.519,39.4440000000001,1555.697246,56,383,1,1,1
"en04395",2,"2004/08/02 10:07:23",-71.671,39.5130000000001,4451.573445,57,385,1,1,1
"en04395",3.5,"2004/07/08 17:11:34",-71.842,39.25,1114.528577,58,176,1,1,1
