x,y,Depth,SST,NPP,DistToCAS,EKE,off.set,LinkID
547984.6181,788253.9925,153.5983,8.8812,1462.5214,11788.9736,0.0074,1e+08,1
557984.6181,788253.9925,552.3107,9.2078,1465.4098,5697.2476,0.0144,1e+08,2
527984.6181,778253.9925,96.8199,9.6341,1429.4318,13722.626,0.0024,1e+08,3
537984.6181,778253.9925,138.2376,9.665,1424.8623,9720.6709,0.0027,1e+08,4
547984.6181,778253.9925,505.1439,9.7905,1379.351,8018.6899,0.0101,1e+08,5
557984.6181,778253.9925,1317.5952,9.9523,1348.5438,3775.4624,0.0193,1e+08,6
567984.6181,778253.9925,2015.1184,10.1369,1299.6199,5293.2744,0.026,1e+08,7
507984.6181,768253.9925,92.8687,9.7034,1523.4595,19412.6133,0.0043,1e+08,8
517984.6181,768253.9925,99.6051,10.001,1284.5011,16228.4316,0.0037,1e+08,9
527984.6181,768253.9925,134.0767,10.2721,1337.6317,8913.3076,0.0051,1e+08,10
537984.6181,768253.9925,417.1217,10.4321,1310.0962,2952.325,0.0069,1e+08,11
547984.6181,768253.9925,1166.6372,10.5127,1304.4126,5983.1797,0.0155,1e+08,12
557984.6181,768253.9925,1829.3634,10.5169,1250.0052,4541.3862,0.0265,1e+08,13
567984.6181,768253.9925,2176.3911,10.4877,1195.7167,2978.6501,0.0337,1e+08,14
577984.6181,768253.9925,2544.5403,10.4436,1171.5741,4619.1016,0.0386,1e+08,15
487984.6181,758253.9925,95.4419,9.9498,1267.0183,22395.877,0.0041,1e+08,16
497984.6181,758253.9925,99.0354,10.0382,1137.1858,14901.2852,0.0055,1e+08,17
507984.6181,758253.9925,112.6155,10.2061,1139.2113,10213.6924,0.0053,1e+08,18
517984.6181,758253.9925,147.0835,10.4742,1300.019,10754.3125,0.005,1e+08,19
527984.6181,758253.9925,335.5508,10.7325,1359.2759,9265.1484,0.0075,1e+08,20
537984.6181,758253.9925,1082.4009,10.8844,1236.2723,3323.7788,0.0109,1e+08,21
547984.6181,758253.9925,1826.5419,10.9311,1260.6083,2561.7629,0.0206,1e+08,22
557984.6181,758253.9925,2139.3723,10.8534,1213.3271,1949.2075,0.0334,1e+08,23
567984.6181,758253.9925,2337.4343,10.7012,1200.634,650.7568,0.0415,1e+08,24
577984.6181,758253.9925,2704.0845,10.5293,1216.0259,1194.6709,0.0457,1e+08,25
587984.6181,758253.9925,2978.8018,10.5608,1189.3074,3360.2368,0.0459,1e+08,26
467984.6181,748253.9925,91.4412,10.5142,1541.7808,18111.8867,0.0021,1e+08,27
477984.6181,748253.9925,94.4084,10.5055,1378.2546,16571.9551,0.003,1e+08,28
487984.6181,748253.9925,103.0492,10.4742,1368.8213,16957.3281,0.0044,1e+08,29
497984.6181,748253.9925,121.6078,10.544,1356.1929,10729.7197,0.0059,1e+08,30
507984.6181,748253.9925,242.204,10.7091,1313.4436,3335.1919,0.0063,1e+08,31
517984.6181,748253.9925,459.819,10.9505,1462.5002,4396.4751,0.0066,1e+08,32
527984.6181,748253.9925,973.537,11.1943,1418.8118,6679.7886,0.0101,1e+08,33
537984.6181,748253.9925,1602.3442,11.3408,1312.21,4076.5012,0.0147,1e+08,34
547984.6181,748253.9925,2023.757,11.3723,1251.4661,2943.6492,0.0243,1e+08,35
557984.6181,748253.9925,2296.9937,11.2352,1224.7292,1536.9019,0.0366,1e+08,36
567984.6181,748253.9925,2644.9287,10.9966,1237.1117,673.0923,0.0438,1e+08,37
577984.6181,748253.9925,2880.9763,10.709,1265.9186,629.8391,0.0456,1e+08,38
587984.6181,748253.9925,3136.6216,10.7664,1328.035,1497.0334,0.0444,1e+08,39
597984.6181,748253.9925,3306.1055,10.875,1281.9393,4429.8511,0.0384,1e+08,40
457984.6181,738253.9925,110.8166,11.3081,1490.9408,8719.3037,0.0012,1e+08,41
467984.6181,738253.9925,110.6238,11.3468,1456.6027,10416.6309,0.0019,1e+08,42
