Region.Label,Area,Sample.Lable,Effort,distance,size
N3,6.2,Line 1,16200,13.44,1
N3,6.2,Line 1,16200,12.5,1
N3,6.2,Line 1,16200,7.74,8
N3,6.2,Line 1,16200,0,5
N3,6.2,Line 1,16200,14.14,5
N3,6.2,Line 1,16200,18.79,4
N3,6.2,Line 1,16200,22.52,4
N3,6.2,Line 1,16200,0,4
N3,6.2,Line 1,16200,0,4
N3,6.2,Line 1,16200,20,3
N3,6.2,Line 1,16200,0,6
N3,6.2,Line 1,16200,6.84,10
N3,6.2,Line 1,16200,0,6
N3,6.2,Line 1,16200,11.57,3
N3,6.2,Line 1,16200,13.44,1
N3,6.2,Line 1,16200,27.57,1
N3,6.2,Line 1,16200,17.73,3
N3,6.2,Line 1,16200,17.85,6
N3,6.2,Line 1,16200,11.31,5
N3,6.2,Line 1,16200,0,12
N3,6.2,Line 1,16200,15.59,2
N3,6.2,Line 1,16200,17.32,8
N3,6.2,Line 1,16200,9.3,2
N3,6.2,Line 1,16200,0,12
N3,6.2,Line 2,22500,14,5
N3,6.2,Line 2,22500,15.56,3
N3,6.2,Line 2,22500,3.3,4
N3,6.2,Line 2,22500,13.5,2
N3,6.2,Line 2,22500,12.73,5
N3,6.2,Line 2,22500,0,5
N3,6.2,Line 2,22500,16,3
N3,6.2,Line 2,22500,4,1
N3,6.2,Line 2,22500,6,4
N3,6.2,Line 2,22500,0,4
N3,6.2,Line 2,22500,0,12
N3,6.2,Line 2,22500,7.5,11
N3,6.2,Line 2,22500,0,1
N3,6.2,Line 2,22500,0,10
N3,6.2,Line 2,22500,20.78,8
N3,6.2,Line 2,22500,6.43,4
N3,6.2,Line 2,22500,6.5,1
N3,6.2,Line 2,22500,24.25,2
N3,6.2,Line 2,22500,0,10
N3,6.2,Line 2,22500,0,10
N3,6.2,Line 2,22500,0,4
N3,6.2,Line 2,22500,6.84,4
N3,6.2,Line 2,22500,5,1
N3,6.2,Line 2,22500,18.13,2
N3,6.2,Line 2,22500,23.49,6
N3,6.2,Line 2,22500,14.91,1
N3,6.2,Line 2,22500,0,5
N3,6.2,Line 2,22500,17,1
N3,6.2,Line 2,22500,2.5,3
N3,6.2,Line 2,22500,25.11,4
N3,6.2,Line 2,22500,17.21,2
N3,6.2,Line 2,22500,16,3
N3,6.2,Line 2,22500,9.9,10
N3,6.2,Line 3,18900,17.32,6
N3,6.2,Line 3,18900,8.66,4
N3,6.2,Line 3,18900,16.06,1
N3,6.2,Line 3,18900,18,1
N3,6.2,Line 3,18900,22,3
N3,6.2,Line 3,18900,3.8,2
N3,6.2,Line 3,18900,18,3
N3,6.2,Line 3,18900,0,6
N3,6.2,Line 3,18900,21.65,8
N3,6.2,Line 3,18900,5.95,2
N3,6.2,Line 3,18900,17.5,2
N3,6.2,Line 3,18900,13.44,7
N3,6.2,Line 3,18900,18.93,3
N3,6.2,Line 3,18900,19,2
N3,6.2,Line 3,18900,29,4
N3,6.2,Line 3,18900,17,16
N3,6.2,Line 3,18900,5.13,10
N3,6.2,Line 3,18900,6.21,4
N3,6.2,Line 3,18900,6.5,9
N3,6.2,Line 3,18900,25,2
N3,6.2,Line 3,18900,14.14,1
N3,6.2,Line 3,18900,0,9
N3,6.2,Line 3,18900,19.05,6
N3,6.2,Line 3,18900,9.83,5
N3,6.2,Line 3,18900,8.45,8
N3,6.2,Line 3,18900,29,3
N3,6.2,Line 3,18900,6.99,2
N3,6.2,Line 4,18900,10.26,1
N3,6.2,Line 4,18900,12.73,10
N3,6.2,Line 4,18900,0,2
