"","object","distance","size","observer"
"1",1,13.4399996,1,1
"2",2,12.5,1,1
"3",3,7.73999977,8,1
"4",4,0,5,1
"5",5,14.1400003,5,1
"6",6,18.7900009,4,1
"7",7,22.5200005,4,1
"8",8,0,4,1
"9",9,0,4,1
"10",10,20,3,1
"11",11,0,6,1
"12",12,6.84000015,10,1
"13",13,0,6,1
"14",14,11.5699997,3,1
"15",15,13.4399996,1,1
"16",16,27.5699997,1,1
"17",17,17.7299995,3,1
"18",18,17.8500004,6,1
"19",19,11.3100004,5,1
"20",20,0,12,1
"21",21,15.5900002,2,1
"22",22,17.3199997,8,1
"23",23,9.30000019,2,1
"24",24,0,12,1
"25",25,14,5,1
"26",26,15.5600004,3,1
"27",27,3.29999995,4,1
"28",28,13.5,2,1
"29",29,12.7299995,5,1
"30",30,0,5,1
"31",31,16,3,1
"32",32,4,1,1
"33",33,6,4,1
"34",34,0,4,1
"35",35,0,12,1
"36",36,7.5,11,1
"37",37,0,1,1
"38",38,0,10,1
"39",39,20.7800007,8,1
"40",40,6.42999983,4,1
"41",41,6.5,1,1
"42",42,24.25,2,1
"43",43,0,10,1
"44",44,0,10,1
"45",45,0,4,1
"46",46,6.84000015,4,1
"47",47,5,1,1
"48",48,18.1299992,2,1
"49",49,23.4899998,6,1
"50",50,14.9099998,1,1
"51",51,0,5,1
"52",52,17,1,1
"53",53,2.5,3,1
"54",54,25.1100006,4,1
"55",55,17.2099991,2,1
"56",56,16,3,1
"57",57,9.89999962,10,1
"58",58,17.3199997,6,1
"59",59,8.65999985,4,1
"60",60,16.0599995,1,1
"61",61,18,1,1
"62",62,22,3,1
"63",63,3.79999995,2,1
"64",64,18,3,1
"65",65,0,6,1
"66",66,21.6499996,8,1
"67",67,5.94999981,2,1
"68",68,17.5,2,1
"69",69,13.4399996,7,1
"70",70,18.9300003,3,1
"71",71,19,2,1
"72",72,29,4,1
"73",73,17,16,1
"74",74,5.13000011,10,1
"75",75,6.21000004,4,1
"76",76,6.5,9,1
"77",77,25,2,1
"78",78,14.1400003,1,1
"79",79,0,9,1
"80",80,19.0499992,6,1
"81",81,9.82999992,5,1
"82",82,8.44999981,8,1
"83",83,29,3,1
"84",84,6.98999977,2,1
"85",85,10.2600002,1,1
"86",86,12.7299995,10,1
"87",87,0,2,1
"88",88,28.1900005,5,1
"89",89,0,2,1
"90",90,27.5699997,6,1
"91",91,15.5900002,1,1
"92",92,0,10,1
"93",93,8.48999977,9,1
"94",94,0,5,1
"95",95,2.07999992,2,1
"96",96,15.3199997,4,1
"97",97,9,2,1
"98",98,0,8,1
"99",99,16.9099998,5,1
"100",100,0,3,1
"101",101,30,6,1
"102",102,8.85999966,1,1
"103",103,4.17000008,6,1
"104",104,0,13,1
"105",105,13.5,2,1
"106",106,6.42999983,2,1
"107",107,0,2,1
"108",108,7.5,6,1
"109",109,16.2600002,8,1
"110",110,14.7200003,4,1
"111",111,13.1099997,3,1
"112",112,0,5,1
"113",113,0,4,1
"114",114,10,5,1
"115",115,10,6,1
"116",116,0,4,1
"117",117,7.5,6,1
"118",118,16,2,1
"119",119,0,12,1
"120",120,0,10,1
"121",121,27.1900005,1,1
"122",122,13.4399996,7,1
"123",123,0,15,1
"124",124,21.6499996,6,1
"125",125,7.5,5,1
"126",126,20,7,1
"127",127,0,6,1
"128",128,0,2,1
"129",129,0,10,1
"130",130,14.5,5,1
"131",131,0,3,1
"132",132,0,5,1
"133",133,0,10,1
"134",134,0,8,1
"135",135,0,1,1
"136",136,14.1400003,12,1
"137",137,6.76000023,6,1
"138",138,11.1099997,7,1
"139",139,25,3,1
"140",140,23.6399994,2,1
"141",141,0,5,1
"142",142,17.3199997,2,1
"143",143,0,6,1
"144",144,0,5,1
"145",145,0,10,1
"146",146,4.78999996,9,1
"147",147,17.3199997,6,1
"148",148,0,1,1
"149",149,9.64000034,1,1
"150",150,0,6,1
"151",151,10.6099997,10,1
"152",152,27,2,1
"153",153,0,1,1
"154",154,1.03999996,2,1
"155",155,5.94999981,13,1
"156",156,0,4,1
"157",157,14.7700005,3,1
"158",158,15.9700003,1,1
"159",159,14,1,1
"160",160,0,2,1
"161",161,12.8599997,4,1
"162",162,0,10,1
"163",163,3.49000001,1,1
"164",164,3.42000008,4,1
"165",165,15.5900002,1,1
"166",166,20.6800003,2,1
"167",167,24,3,1
"168",168,17.8500004,2,1
"169",169,10.3199997,1,1
"170",170,14.7200003,1,1
"171",171,3.53999996,6,1
"172",172,0,7,1
"173",173,10.6099997,8,1
"174",174,0,2,1
"175",175,11.4899998,4,1
"176",176,8.48999977,1,1
"177",177,0,5,1
"178",178,12.9899998,10,1
"179",179,27.8899994,1,1
"180",180,6.34000015,1,1
"181",181,17.6800003,4,1
"182",182,17.6200008,2,1
"183",183,20,1,1
"184",184,22,2,1
"185",185,19.0499992,10,1
"186",186,3,6,1
"187",187,10.2799997,2,1
"188",188,0,2,1
"189",189,6.76000023,4,1
"190",190,8.60000038,1,1
"191",191,12.8599997,3,1
"192",192,7.07000017,2,1
"193",193,0,1,1
"194",194,22.9799995,6,1
"195",195,0,2,1
"196",196,21.6499996,4,1
"197",197,29.5400009,3,1
"198",198,19,1,1
"199",199,0,2,1
"200",200,0,10,1
"201",201,10,5,1
"202",202,9,1,1
"203",203,9.5,1,1
"204",204,32,13,1
