Region.Label	Area	Sample.Label	Effort	distance
Study area	0	1	240	28
Study area	0	1	240	17
Study area	0	1	240	15
Study area	0	1	240	14
Study area	0	1	240	18
Study area	0	1	240	0
Study area	0	1	240	38
Study area	0	1	240	6
Study area	0	1	240	50
Study area	0	1	240	65
Study area	0	1	240	75
Study area	0	1	240	1
Study area	0	1	240	70
Study area	0	1	240	28
Study area	0	1	240	40
Study area	0	1	240	40
Study area	0	1	240	40
Study area	0	1	240	15
Study area	0	1	240	40
Study area	0	1	240	30
Study area	0	1	240	5
Study area	0	1	240	55
Study area	0	1	240	60
Study area	0	1	240	40
Study area	0	1	240	24
Study area	0	1	240	30
Study area	0	1	240	0
Study area	0	1	240	50
Study area	0	1	240	55
Study area	0	1	240	10
Study area	0	1	240	40
Study area	0	1	240	10
Study area	0	1	240	30
Study area	0	1	240	34
Study area	0	1	240	24
Study area	0	1	240	30
Study area	0	1	240	15
Study area	0	1	240	20
Study area	0	1	240	14
Study area	0	1	240	48
Study area	0	1	240	0
Study area	0	1	240	30
Study area	0	1	240	2
Study area	0	1	240	52
Study area	0	1	240	11
Study area	0	1	240	48
Study area	0	1	240	28
Study area	0	1	240	38
Study area	0	1	240	25
Study area	0	1	240	35
Study area	0	1	240	45
Study area	0	1	240	0
Study area	0	1	240	16
Study area	0	1	240	12
Study area	0	1	240	2
Study area	0	1	240	14
Study area	0	1	240	12
Study area	0	1	240	24
Study area	0	1	240	70
Study area	0	1	240	50
Study area	0	1	240	49
Study area	0	1	240	40
Study area	0	1	240	80
Study area	0	1	240	18
Study area	0	1	240	27
Study area	0	1	240	30
Study area	0	1	240	30
Study area	0	1	240	60
Study area	0	1	240	58
Study area	0	1	240	14
Study area	0	1	240	0
Study area	0	1	240	56
Study area	0	1	240	40
Study area	0	1	240	19
Study area	0	1	240	21
Study area	0	1	240	0
Study area	0	1	240	38
Study area	0	1	240	20
Study area	0	1	240	28
Study area	0	1	240	30
Study area	0	1	240	20
Study area	0	1	240	16
Study area	0	1	240	0
Study area	0	1	240	69
Study area	0	1	240	40
Study area	0	1	240	46
Study area	0	1	240	50
Study area	0	1	240	40
Study area	0	1	240	70
Study area	0	1	240	67
Study area	0	1	240	28
Study area	0	1	240	12
Study area	0	1	240	12
Study area	0	1	240	22
Study area	0	1	240	40
Study area	0	1	240	48
Study area	0	1	240	48
Study area	0	1	240	15
Study area	0	1	240	12
Study area	0	1	240	0
Study area	0	1	240	15
Study area	0	1	240	20
Study area	0	1	240	17
Study area	0	1	240	30
Study area	0	1	240	30
Study area	0	1	240	32
Study area	0	1	240	48
Study area	0	1	240	20
Study area	0	1	240	10
Study area	0	1	240	20
Study area	0	1	240	42
Study area	0	1	240	30
