Study.area,Region.Label,Area,Sample.Label,Effort,distance,size,side,exp,fatigue,gscat,vis,glare,ssmi,altitude,obsname
Nominal_area,1,1000000,99A21,59.72,144.49,1,R,0,61.9,1,G,N,79,43.05763,YH
Nominal_area,1,1000000,99A21,59.72,125.16,1,L,211.7,62.61,1,G,N,79,43.05763,MF
Nominal_area,1,1000000,99A21,59.72,421.4,1,L,0,62.86,1,G,N,79,43.05763,MH
Nominal_area,1,1000000,99A21,59.72,55.7,1,R,0,62.96,1,G,N,79,42.83676,YH
Nominal_area,1,1000000,99A21,59.72,288.52,1,R,0,63.21,1,G,N,79,42.83676,YH
Nominal_area,1,1000000,99A21,59.72,1.56,1,L,211.7,63.45,1,G,N,79,42.83676,MF
Nominal_area,1,1000000,99A21,59.72,230.02,1,R,0,64.1,1,G,N,79,42.83676,YH
Nominal_area,1,1000000,99A21,59.72,191.98,2,L,0,64.2,2,G,N,79,42.83676,MH
Nominal_area,1,1000000,99A21,59.72,185.25,1,R,0,65.1,1,G,N,79,42.83676,YH
Nominal_area,1,1000000,99A21,59.72,422.48,1,L,211.7,65.2,1,G,N,79,42.83676,MF
Nominal_area,1,1000000,99A21,59.72,461.5,1,L,0,66.63,1,G,N,79,42.6721,MH
Nominal_area,1,1000000,99A21,59.72,47.54,1,L,211.7,66.83,1,G,N,79,42.6721,MF
Nominal_area,1,1000000,99A21,59.72,385.16,1,L,211.7,67.48,1,G,N,79,42.48441,MF
Nominal_area,1,1000000,99A21,59.72,206.26,1,R,177.9,67.5,1,G,N,79,42.48441,HZ
Nominal_area,1,1000000,99A21,59.72,295.34,1,R,0,67.51,1,G,N,79,42.48441,YH
Nominal_area,1,1000000,99A21,59.72,238.66,2,R,0,67.6,2,G,N,79,42.48441,YH
Nominal_area,1,1000000,99A21,59.72,112.14,1,R,0,68.06,1,G,N,79,42.48441,YH
Nominal_area,1,1000000,99A21,59.72,185.25,1,L,211.7,70.55,1,G,N,74,42.24715,MF
Nominal_area,1,1000000,99A21,59.72,318.41,2,L,211.7,71.05,2,G,N,74,42.24715,MF
Nominal_area,1,1000000,99A21,59.72,338.87,1,L,211.7,73.98,1,G,N,78,41.86008,MF
Nominal_area,1,1000000,99A21,59.72,52.78,1,L,211.7,75.21,1,G,N,78,41.86008,MF
Nominal_area,1,1000000,99A21,59.72,39.4,2,L,211.7,75.96,2,G,N,78,41.63055,MF
Nominal_area,1,1000000,99A21,59.72,125.16,1,L,0,78.86,1,G,N,78,41.4066,MH
Nominal_area,1,1000000,99A21,59.72,270.9,1,L,211.7,79.46,1,G,N,78,41.4066,MF
Nominal_area,1,1000000,99A21,59.72,152.56,1,R,0,79.5,1,G,N,78,41.4066,YH
Nominal_area,1,1000000,99A21,59.72,255.17,1,R,0,79.61,1,G,N,78,41.4066,YH
Nominal_area,1,1000000,99A21,59.72,1.56,2,R,0,80.15,2,G,N,78,41.4066,YH
Nominal_area,1,1000000,99A21,59.72,52.21,1,R,0,80.78,1,G,N,78,41.24535,YH
Nominal_area,1,1000000,99A21,59.72,325.21,1,R,177.9,82.63,1,G,N,78,41.03978,HZ
Nominal_area,1,1000000,99A21,59.72,166.53,1,R,0,84.53,1,G,N,78,41.03978,YH
Nominal_area,1,1000000,99A21,59.72,457.5,1,L,211.7,84.56,1,G,N,71,40.41726,MF
Nominal_area,1,1000000,99A21,59.72,40.19,2,R,25.5,89.73,2,G,N,71,40.41726,YH
Nominal_area,1,1000000,99A22,31.63,23.48,2,L,237.2,90.63,2,G,N,71,40.33682,MF
Nominal_area,1,1000000,99A22,31.63,511.6,1,R,25.5,91.06,1,G,N,71,40.33682,YH
Nominal_area,1,1000000,99A22,31.63,214.44,1,R,25.5,91.2,1,G,N,71,40.33682,YH
Nominal_area,1,1000000,99A22,31.63,82.25,1,L,237.2,91.3,1,G,N,71,40.33682,MF
Nominal_area,1,1000000,99A22,31.63,92.69,1,R,25.5,91.61,1,G,N,71,40.33682,YH
Nominal_area,1,1000000,99A22,31.63,178.78,1,L,237.2,92.09,1,G,N,71,40.0913,MF
Nominal_area,1,1000000,99A22,31.63,506.4,1,L,25.5,93.78,1,G,N,71,40.0913,MH
Nominal_area,1,1000000,99A22,31.63,261.71,1,R,203.4,94.88,1,G,N,71,39.8906,HZ
Nominal_area,1,1000000,99A22,31.63,77.15,1,L,237.2,95.66,1,G,N,71,39.8906,MF
Nominal_area,1,1000000,99A22,31.63,166.53,1,R,25.5,95.68,1,G,N,71,39.8906,YH
Nominal_area,1,1000000,99A22,31.63,335.63,2,L,237.2,95.73,2,G,N,71,39.8906,MF
Nominal_area,1,1000000,99A22,31.63,306.58,1,R,203.4,95.88,1,G,N,71,39.8906,HZ
Nominal_area,1,1000000,99A22,31.63,106.45,1,L,237.2,96.83,1,G,N,71,39.64192,MF
Nominal_area,1,1000000,99A22,31.63,421.4,1,L,25.5,97.78,1,G,N,71,39.64192,MH
Nominal_area,1,1000000,99A22,31.63,191.98,1,L,237.2,98.55,1,G,N,71,39.64192,MF
Nominal_area,1,1000000,99A22,31.63,421.4,1,R,25.5,99.15,1,G,N,72,39.47113,YH
Nominal_area,1,1000000,99A23,57.5,511.6,1,L,252.7,112.01,1,G,N,71,38.75326,MF
Nominal_area,1,1000000,99A23,57.5,300.09,1,L,252.7,112.78,1,G,N,71,38.75326,MF
Nominal_area,1,1000000,99A23,57.5,368.76,1,L,252.7,114.56,1,G,N,71,38.71998,MF
Nominal_area,1,1000000,99A23,57.5,420.4,3,R,218.9,116.16,3,G,N,71,38.56604,HZ
Nominal_area,1,1000000,99A23,57.5,300.09,1,L,41,116.25,1,G,N,71,38.56604,MH
Nominal_area,1,1000000,99A23,57.5,351.36,1,L,252.7,117.19,1,G,N,71,38.40001,MF
Nominal_area,1,1000000,99A23,57.5,29.61,1,R,41,119.01,1,G,N,71,38.40001,YH
Nominal_area,1,1000000,99A23,57.5,459.8,1,L,252.7,121.28,1,G,N,71,38.21445,MF
Nominal_area,1,1000000,99A23,57.5,285.54,1,L,252.7,123.15,1,G,N,71,38.06781,MF
Nominal_area,1,1000000,99A23,57.5,108.03,1,L,252.7,123.26,1,G,N,71,38.06781,MF
Nominal_area,1,1000000,99A23,57.5,537.92,1,R,218.9,123.91,1,G,N,77,37.89567,HZ
Nominal_area,1,1000000,99A23,57.5,537.92,1,R,218.9,123.95,1,G,N,77,37.89567,HZ
Nominal_area,1,1000000,99A23,57.5,128.63,1,R,41,124.43,1,G,N,77,37.89567,YH
Nominal_area,1,1000000,99A23,57.5,90.17,1,R,41,125.76,1,G,N,77,37.89567,YH
Nominal_area,1,1000000,99A23,57.5,179.62,1,L,252.7,125.8,1,G,N,77,37.89567,MF
Nominal_area,1,1000000,99A23,57.5,204.87,1,L,252.7,125.84,1,G,N,77,37.71593,MF
Nominal_area,1,1000000,99A23,57.5,526.96,1,R,41,126.06,1,G,N,77,37.71593,YH
Nominal_area,1,1000000,99A23,57.5,395.5,1,L,252.7,129.03,1,G,N,77,37.48218,MF
Nominal_area,1,1000000,99A23,57.5,82.29,1,R,41,130.95,1,G,N,77,37.35761,YH
Nominal_area,1,1000000,99A23,57.5,156.28,1,L,252.7,130.96,1,G,N,77,37.35761,MF
Nominal_area,1,1000000,99A23,57.5,344.72,5,L,252.7,131.03,3,G,N,77,37.35761,MF
Nominal_area,1,1000000,99A23,57.5,297.01,2,L,252.7,131.09,2,G,N,77,37.35761,MF
Nominal_area,1,1000000,99A23,57.5,411.17,1,L,252.7,132.96,1,G,N,77,37.175,MF
Nominal_area,1,1000000,99A23,57.5,395.21,1,L,252.7,134.23,1,G,N,77,37.175,MF
Nominal_area,1,1000000,99A23,57.5,666.53,1,L,41,134.46,1,G,N,77,36.9608,MH
Nominal_area,1,1000000,99A23,57.5,368.91,2,L,41,135.41,2,G,N,77,36.9608,MH
Nominal_area,1,1000000,99A24,64.1,475.67,1,L,67.2,143.26,1,G,N,85,36.26062,MH
Nominal_area,1,1000000,99A24,64.1,527.73,1,L,67.2,143.43,1,G,N,85,36.26062,MH
Nominal_area,1,1000000,99A24,64.1,275.37,3,L,278.9,143.43,3,G,N,85,36.26062,MF
Nominal_area,1,1000000,99A24,64.1,523.73,1,L,278.9,144.11,1,G,N,85,36.26062,MF
Nominal_area,1,1000000,99A24,64.1,251.4,1,L,67.2,144.86,1,G,N,85,36.0935,MH
Nominal_area,1,1000000,99A24,64.1,104.37,1,L,278.9,145.34,1,G,N,85,36.0935,MF
Nominal_area,1,1000000,99A24,64.1,114.22,1,L,278.9,146.05,1,G,N,85,35.98203,MF
Nominal_area,1,1000000,99A24,64.1,197.67,1,R,67.2,146.43,1,G,N,85,35.98203,YH
Nominal_area,1,1000000,99A24,64.1,470.53,1,L,278.9,146.88,1,G,N,85,35.98203,MF
Nominal_area,1,1000000,99A24,64.1,525.68,1,R,67.2,147.4,1,G,N,85,35.98203,YH
Nominal_area,1,1000000,99A24,64.1,435.42,1,L,278.9,148.56,1,G,N,85,35.72855,MF
Nominal_area,1,1000000,99A24,64.1,283.63,1,R,67.2,148.85,1,G,N,85,35.72855,YH
Nominal_area,1,1000000,99A24,64.1,23.78,1,R,67.2,152.48,1,G,N,70,35.42373,YH
Nominal_area,1,1000000,99A24,64.1,121.67,1,R,67.2,153.7,1,G,N,70,35.42373,YH
Nominal_area,1,1000000,99A24,64.1,238.07,1,L,278.9,155.65,1,G,N,70,35.22045,MF
Nominal_area,1,1000000,99A24,64.1,420.06,1,L,67.2,157.91,1,G,N,70,35.01741,MH
Nominal_area,1,1000000,99A24,64.1,547.23,1,L,278.9,159.03,1,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,10.15,1,R,67.2,159.19,1,G,N,70,34.82533,YH
Nominal_area,1,1000000,99A24,64.1,457.49,1,R,67.2,159.28,1,G,N,70,34.82533,YH
Nominal_area,1,1000000,99A24,64.1,96.3,1,L,278.9,159.43,1,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,370.88,2,L,278.9,159.55,2,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,143.3,1,L,278.9,159.61,1,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,267.97,1,L,278.9,159.68,1,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,24.02,1,R,67.2,160.66,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,326.25,1,R,67.2,161,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,549.23,1,R,67.2,161.06,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,433.6,2,R,67.2,161.13,2,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,85.49,1,L,278.9,161.23,1,G,N,70,34.66162,MF
Nominal_area,1,1000000,99A24,64.1,498.07,1,R,67.2,161.34,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,200.23,1,R,67.2,161.48,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,487.3,2,L,278.9,161.68,2,G,N,70,34.66162,MF
Nominal_area,1,1000000,99A24,64.1,290.49,2,L,278.9,161.76,2,G,N,70,34.66162,MF
Nominal_area,1,1000000,99A24,64.1,174.58,1,R,67.2,161.9,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,334.5,4,R,67.2,163.06,3,G,N,70,34.47075,YH
Nominal_area,1,1000000,99A24,64.1,522.47,1,L,278.9,163.48,1,G,N,70,34.47075,MF
Nominal_area,1,1000000,99A24,64.1,194.03,2,L,278.9,164.21,2,G,N,33,34.25055,MF
Nominal_area,1,1000000,99A24,64.1,300.48,1,L,278.9,164.86,1,G,N,33,34.25055,MF
Nominal_area,1,1000000,99A25,30.15,243.26,1,R,91,175.3,1,G,N,52,32.61304,YH
Nominal_area,1,1000000,99A25,30.15,367.31,1,R,91,177.51,1,G,N,52,32.43372,YH
Nominal_area,1,1000000,99A25,30.15,370.8,1,L,302.7,178.43,1,G,N,52,32.13252,MF
Nominal_area,1,1000000,99A25,30.15,157.53,1,R,91,185.06,1,G,N,79,47.0989,YH
Nominal_area,1,1000000,99A25,30.15,79.15,1,R,91,185.66,1,G,N,79,47.0989,YH
Nominal_area,1,1000000,99A25,30.15,121.32,1,R,91,186.44,1,G,N,79,47.0989,YH
Nominal_area,1,1000000,99A26,65.24,290.1,1,L,0,39.61,1,G,N,74,40.22687,FM
Nominal_area,1,1000000,99A26,65.24,148.63,1,R,177.8,40.43,1,G,N,74,40.22687,SW
Nominal_area,1,1000000,99A26,65.24,72.8,2,L,177.9,40.56,2,G,N,74,40.22687,MS
Nominal_area,1,1000000,99A26,65.24,230.16,1,L,0,41,1,G,N,74,40.22687,FM
Nominal_area,1,1000000,99A26,65.24,45.93,1,R,177.8,41.01,1,G,N,74,40.22687,SW
Nominal_area,1,1000000,99A26,65.24,63.83,1,R,177.8,41.43,1,G,N,74,40.03582,SW
Nominal_area,1,1000000,99A26,65.24,72.82,1,R,177.8,41.49,1,G,N,74,40.03582,SW
Nominal_area,1,1000000,99A26,65.24,459.31,1,L,0,41.88,1,G,N,74,40.03582,FM
Nominal_area,1,1000000,99A26,65.24,65.98,1,R,177.8,42.01,1,G,N,74,40.03582,SW
Nominal_area,1,1000000,99A26,65.24,59.25,2,R,177.8,42.31,2,G,N,74,40.03582,SW
Nominal_area,1,1000000,99A26,65.24,620.08,1.5,R,177.8,43.64,2,G,N,74,39.77758,SW
Nominal_area,1,1000000,99A26,65.24,182.1,1,R,0,45.55,1,G,N,74,39.58268,LM
Nominal_area,1,1000000,99A26,65.24,144.64,1,L,0,46.05,1,G,N,74,39.58268,FM
Nominal_area,1,1000000,99A26,65.24,135.55,1,L,0,46.86,1,G,N,74,39.58268,FM
Nominal_area,1,1000000,99A26,65.24,341.56,1,R,177.8,47.05,1,G,N,74,39.58268,SW
Nominal_area,1,1000000,99A26,65.24,149.67,1,R,177.8,47.85,1,G,N,74,39.35152,SW
Nominal_area,1,1000000,99A26,65.24,416.13,1,R,0,48.36,1,G,N,74,39.35152,LM
Nominal_area,1,1000000,99A26,65.24,671.68,1,R,177.8,48.65,1,G,N,74,39.35152,SW
Nominal_area,1,1000000,99A26,65.24,612.69,1.5,R,177.8,50.14,2,G,N,74,39.14563,SW
